Column1,Column2,Column3
編　　號Cezanne063作　　者塞尚 Paul Cezanne年　　份1890原作尺寸81 x 65 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1633,https://www.ss.net.tw/images/product_images/popup_images/Cezanne063.jpg,塞尚夫人肖像 Portrait of Madame Cezanne
編　　號Cezanne064作　　者塞尚 Paul Cezanne年　　份1885 - 86原作尺寸67.9 x 92.1 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1684,https://www.ss.net.tw/images/product_images/popup_images/Cezanne064.jpg,查德布凡附近的房子和樹木 Trees and Houses Near the Jas de Bouffan
編　　號Cezanne065作　　者塞尚 Paul Cezanne年　　份1873原作尺寸46 x 38 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1926,https://www.ss.net.tw/images/product_images/popup_images/Cezanne065.jpg,奧維嘉舍醫生的房屋 The House of Dr. Gachet in Auvers
編　　號Cezanne066作　　者塞尚 Paul Cezanne年　　份1873原作尺寸61.3 x 50.6 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1751,https://www.ss.net.tw/images/product_images/popup_images/Cezanne066.jpg,奧維皮耶拉夸的房屋 The House of Pere Lacroix in Auvers
編　　號Cezanne067作　　者塞尚 Paul Cezanne年　　份1873原作尺寸44.5 x 34.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1614,https://www.ss.net.tw/images/product_images/popup_images/Cezanne067.jpg,奧維的柵欄 View of Auvers-sur-Oise (The Fence)
編　　號Cezanne068作　　者塞尚 Paul Cezanne年　　份1865 - 68原作尺寸41.1 x 33 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1565,https://www.ss.net.tw/images/product_images/popup_images/Cezanne068.jpg,楓丹白露森林中的岩石 Rochers dans la foret. Fontainebleau
編　　號Cezanne069作　　者塞尚 Paul Cezanne年　　份1890 - 92原作尺寸61.95 x 51.13 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1600,https://www.ss.net.tw/images/product_images/popup_images/Cezanne069.jpg,塞尚夫人肖像 Portrait of Madame Cezanne
編　　號Cezanne070作　　者塞尚 Paul Cezanne年　　份1875原作尺寸37 x 45 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1663,https://www.ss.net.tw/images/product_images/popup_images/Cezanne070.jpg,那不勒斯的午後 Afternoon in Naples
編　　號Cezanne071作　　者塞尚 Paul Cezanne年　　份1873 - 77原作尺寸47 x 56 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1908,https://www.ss.net.tw/images/product_images/popup_images/Cezanne071.jpg,聖安多尼的誘惑 The Temptation of Saint Anthony
編　　號Cezanne072作　　者塞尚 Paul Cezanne年　　份1877原作尺寸43.2 x 53.3 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1600,https://www.ss.net.tw/images/product_images/popup_images/Cezanne072.jpg,永恆的女性 The Eternal Feminine
編　　號Cezanne073作　　者塞尚 Paul Cezanne年　　份1890 - 94原作尺寸61.2 x 50.1 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次4130,https://www.ss.net.tw/images/product_images/popup_images/Cezanne073.jpg,戴帽子的自畫像 Self - Portrait with a Hat
編　　號Cezanne074作　　者塞尚 Paul Cezanne年　　份1900 - 03原作尺寸101 x 81.9 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1805,https://www.ss.net.tw/images/product_images/popup_images/Cezanne074.jpg,瓶花 Vase of Flowers
編　　號Cezanne075作　　者塞尚 Paul Cezanne年　　份1878 - 80原作尺寸32.4 x 50 cm原作材質石墨．水粉．水彩 Graphite. gouache. and watercolor瀏覽人次1569,https://www.ss.net.tw/images/product_images/popup_images/Cezanne075.jpg,瓦茲河谷 In the Oise Valley
編　　號Cezanne076作　　者塞尚 Paul Cezanne年　　份1888 - 90原作尺寸73 x 60 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1954,https://www.ss.net.tw/images/product_images/popup_images/Cezanne076.jpg,穿藍衣的塞尚夫人 Madame Ceanne in Blue
編　　號Cezanne077作　　者塞尚 Paul Cezanne年　　份1890原作尺寸65.3 x 54.9 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1564,https://www.ss.net.tw/images/product_images/popup_images/Cezanne077.jpg,靜物前的女人 Woman in Front of a Still Life
編　　號Cezanne078作　　者塞尚 Paul Cezanne年　　份1885 - 87原作尺寸50.16 x 60.96 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2074,https://www.ss.net.tw/images/product_images/popup_images/Cezanne078.jpg,櫻桃和桃子 Still Life with Cherries and Peaches
編　　號Cezanne079作　　者塞尚 Paul Cezanne年　　份1888 - 90原作尺寸65 x 81 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2088,https://www.ss.net.tw/images/product_images/popup_images/Cezanne079.jpg,廚房桌子 The Kitchen Table
編　　號Cezanne080作　　者塞尚 Paul Cezanne年　　份1905原作尺寸81 x 100.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2151,https://www.ss.net.tw/images/product_images/popup_images/Cezanne080.jpg,蘋果和桃子 Still Life with Apples and Peaches
編　　號Cezanne081作　　者塞尚 Paul Cezanne年　　份1890 - 92原作尺寸65.4 x 81.9 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2317,https://www.ss.net.tw/images/product_images/popup_images/Cezanne081.jpg,玩紙牌的人 The Card Players
編　　號Cezanne082作　　者塞尚 Paul Cezanne年　　份1885 - 86原作尺寸53 x 49 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1620,https://www.ss.net.tw/images/product_images/popup_images/Cezanne082.jpg,源於葛雷柯的穿皮草的女人 La Femme a L’Hermine. d’Apres Le Greco
編　　號Cezanne083作　　者塞尚 Paul Cezanne年　　份1897原作尺寸65 x 81 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1578,https://www.ss.net.tw/images/product_images/popup_images/Cezanne083.jpg,從保伯慕斯看聖維多利亞山 Mont Sainte-Victoire Seen from Bibemus
編　　號Cezanne084作　　者塞尚 Paul Cezanne年　　份1877原作尺寸45.7 x 55.3 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2006,https://www.ss.net.tw/images/product_images/popup_images/Cezanne084.jpg,靜物︰瓶子、玻璃杯和水壺 Still Life：Flask. Glass and Jug
編　　號Cezanne085作　　者塞尚 Paul Cezanne年　　份1879 - 80原作尺寸19 x 38.7 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2315,https://www.ss.net.tw/images/product_images/popup_images/Cezanne085.jpg,玻璃杯和梨子 Verre et Poires
編　　號Cezanne086作　　者塞尚 Paul Cezanne年　　份1890 - 92原作尺寸50 x 46 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2068,https://www.ss.net.tw/images/product_images/popup_images/Cezanne086.jpg,玩牌的人 The Cardplayer
編　　號Cezanne087作　　者塞尚 Paul Cezanne年　　份1885原作尺寸127 x 96.8 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1630,https://www.ss.net.tw/images/product_images/popup_images/Cezanne087.jpg,沐浴者 The Bather
編　　號Cezanne088作　　者塞尚 Paul Cezanne年　　份1874 - 75原作尺寸38.1 x 46 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1649,https://www.ss.net.tw/images/product_images/popup_images/Cezanne088.jpg,沐浴者 Bathers
編　　號Cezanne089作　　者塞尚 Paul Cezanne年　　份1890 - 93原作尺寸33 x 46.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1615,https://www.ss.net.tw/images/product_images/popup_images/Cezanne089.jpg,水果與薑罐 Fruit and Ginger Pot
編　　號Cezanne090作　　者塞尚 Paul Cezanne年　　份1906原作尺寸208 x 249 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次3699,https://www.ss.net.tw/images/product_images/popup_images/Cezanne090.jpg,眾多的沐浴者 The Large Bathers
編　　號Cezanne091作　　者塞尚 Paul Cezanne年　　份1875原作尺寸66 x 55 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1683,https://www.ss.net.tw/images/product_images/popup_images/Cezanne091.jpg,粉紅色背景的自畫像 Selbstportrat vor rosa Hintergrund
編　　號Cezanne092作　　者塞尚 Paul Cezanne年　　份1895 - 98原作尺寸33 x 46.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1878,https://www.ss.net.tw/images/product_images/popup_images/Cezanne092.jpg,水壺和一盤梨子 Pitcher and Plate of Pears
編　　號Cezanne093作　　者塞尚 Paul Cezanne年　　份1890 - 95原作尺寸72 x 91 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1597,https://www.ss.net.tw/images/product_images/popup_images/Cezanne093.jpg,艾克斯附近的大松樹 Great Pine near Aix
編　　號Cezanne094作　　者塞尚 Paul Cezanne年　　份1869 - 71原作尺寸60 x 50.17 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1706,https://www.ss.net.tw/images/product_images/popup_images/Cezanne094.jpg,安東尼畫像 Portrait of Anthony Valabregue
編　　號Cezanne095作　　者塞尚 Paul Cezanne年　　份1893 - 94原作尺寸65.41 x 81.6 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1936,https://www.ss.net.tw/images/product_images/popup_images/1209_01569064709.jpg,蘋果 Still Life with Apples
編　　號Cezanne096作　　者塞尚 Paul Cezanne年　　份1895 - 1900原作尺寸91.76 x 73.34 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1739,https://www.ss.net.tw/images/product_images/popup_images/Cezanne096.jpg,桌旁的義大利婦人 Young Italian Woman at a Table
編　　號Cezanne097作　　者塞尚 Paul Cezanne年　　份1900原作尺寸45.8 x 54.9 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2114,https://www.ss.net.tw/images/product_images/popup_images/Cezanne097.jpg,牛奶罐和水果的靜物 Still Life with Milk Jug and Fruit
